Tipo de Monitoramento:;CETESB
Tipo de Rede:;Automática
Tipo de Dado:;Primários
Código da estação:;260
Nome da estação:;Santos-Ponta da Praia

Data;Hora;Média Horária;Média Horária;Média Horária
;;MP2.5(Partículas Inaláveis Finas) - µg/m3;NO2(Dióxido de Nitrogênio) - µg/m3;O3(Ozônio) - µg/m3
01/01/2023;01:00;23;22;33
01/01/2023;02:00;60;35;6
01/01/2023;03:00;95;27;1
01/01/2023;04:00;64;27;1
01/01/2023;05:00;52;20;1
01/01/2023;06:00;27;19;
01/01/2023;07:00;12;22;3
01/01/2023;08:00;12;26;6
01/01/2023;09:00;24;40;6
01/01/2023;10:00;19;31;35
01/01/2023;11:00;5;10;68
01/01/2023;12:00;3;5;78
01/01/2023;13:00;5;1;85
01/01/2023;14:00;1;6;70
01/01/2023;15:00;2;9;69
01/01/2023;16:00;3;5;101
01/01/2023;17:00;7;2;82
01/01/2023;18:00;13;5;54
01/01/2023;19:00;11;5;49
01/01/2023;20:00;6;4;44
01/01/2023;21:00;8;5;45
01/01/2023;22:00;11;26;28
01/01/2023;23:00;12;39;16
01/01/2023;24:00;14;34;19
02/01/2023;01:00;16;44;9
02/01/2023;02:00;27;41;3
02/01/2023;03:00;16;38;2
02/01/2023;04:00;17;36;2
02/01/2023;05:00;17;30;2
02/01/2023;06:00;19;29;
02/01/2023;07:00;13;34;2
02/01/2023;08:00;5;40;9
02/01/2023;09:00;11;48;15
02/01/2023;10:00;5;29;37
02/01/2023;11:00;0;10;61
02/01/2023;12:00;2;5;64
02/01/2023;13:00;1;2;64
02/01/2023;14:00;1;2;60
02/01/2023;15:00;7;2;60
02/01/2023;16:00;21;9;54
02/01/2023;17:00;18;15;50
02/01/2023;18:00;18;11;56
02/01/2023;19:00;28;13;53
02/01/2023;20:00;15;32;37
02/01/2023;21:00;12;32;33
02/01/2023;22:00;19;60;6
02/01/2023;23:00;10;55;3
02/01/2023;24:00;9;42;14
03/01/2023;01:00;9;44;8
03/01/2023;02:00;16;37;2
03/01/2023;03:00;15;42;2
03/01/2023;04:00;15;38;3
03/01/2023;05:00;14;38;2
03/01/2023;06:00;18;33;
03/01/2023;07:00;14;30;7
03/01/2023;08:00;19;43;5
03/01/2023;09:00;17;40;6
03/01/2023;10:00;9;30;21
03/01/2023;11:00;2;27;42
03/01/2023;12:00;2;19;75
03/01/2023;13:00;6;18;84
03/01/2023;14:00;7;17;81
03/01/2023;15:00;5;27;74
03/01/2023;16:00;2;23;65
03/01/2023;17:00;5;24;52
03/01/2023;18:00;8;22;56
03/01/2023;19:00;15;27;47
03/01/2023;20:00;12;27;34
03/01/2023;21:00;9;49;7
03/01/2023;22:00;12;55;5
03/01/2023;23:00;24;43;4
03/01/2023;24:00;17;41;4
04/01/2023;01:00;15;41;9
04/01/2023;02:00;15;39;4
04/01/2023;03:00;16;35;4
04/01/2023;04:00;8;22;17
04/01/2023;05:00;7;10;29
04/01/2023;06:00;7;9;
04/01/2023;07:00;1;7;35
04/01/2023;08:00;0;10;39
04/01/2023;09:00;0;4;53
04/01/2023;10:00;1;2;53
04/01/2023;11:00;9;3;52
04/01/2023;12:00;1;3;58
04/01/2023;13:00;2;0;62
04/01/2023;14:00;3;1;60
04/01/2023;15:00;21;6;54
04/01/2023;16:00;13;3;59
04/01/2023;17:00;11;5;57
04/01/2023;18:00;7;4;55
04/01/2023;19:00;7;12;44
04/01/2023;20:00;8;15;38
04/01/2023;21:00;6;8;44
04/01/2023;22:00;4;7;42
04/01/2023;23:00;1;7;40
04/01/2023;24:00;1;7;38
05/01/2023;01:00;3;7;44
05/01/2023;02:00;3;6;42
05/01/2023;03:00;5;2;62
05/01/2023;04:00;4;2;63
05/01/2023;05:00;1;2;64
05/01/2023;06:00;3;1;
05/01/2023;07:00;15;3;62
05/01/2023;08:00;7;8;56
05/01/2023;09:00;4;10;54
05/01/2023;10:00;6;17;45
05/01/2023;11:00;4;14;46
05/01/2023;12:00;4;8;56
05/01/2023;13:00;5;5;63
05/01/2023;14:00;0;4;61
05/01/2023;15:00;0;13;48
05/01/2023;16:00;3;12;51
05/01/2023;17:00;1;12;48
05/01/2023;18:00;4;9;50
05/01/2023;19:00;4;39;16
05/01/2023;20:00;8;56;3
05/01/2023;21:00;6;45;11
05/01/2023;22:00;8;42;10
05/01/2023;23:00;11;50;2
05/01/2023;24:00;11;51;2
06/01/2023;01:00;11;47;5
06/01/2023;02:00;10;43;8
06/01/2023;03:00;8;42;8
06/01/2023;04:00;5;47;1
06/01/2023;05:00;9;46;2
06/01/2023;06:00;1;43;
06/01/2023;07:00;6;46;3
06/01/2023;08:00;8;47;3
06/01/2023;09:00;12;45;5
06/01/2023;10:00;5;22;21
06/01/2023;11:00;7;17;25
06/01/2023;12:00;3;6;37
06/01/2023;13:00;2;6;35
06/01/2023;14:00;11;14;24
06/01/2023;15:00;10;13;24
06/01/2023;16:00;13;15;25
06/01/2023;17:00;14;15;26
06/01/2023;18:00;3;27;12
06/01/2023;19:00;10;23;15
