day,month,year,hour,ct,wd,ws,hc,ccp,cco,p,temp,dpTemp,vis,pw,relh
1,1,2023,0,,360.0,5.14444,2133.6,3.0,3.0,1009.6584284462122,25.0,21.999999999999996,,0.0,83.44
1,1,2023,1,,360.0,4.115552,3048.0,6.0,6.0,1009.6548348541656,25.0,21.999999999999996,,0.0,83.44
1,1,2023,2,,360.0,4.115552,3048.0,6.0,6.0,1009.6548348541656,25.0,21.999999999999996,,0.0,83.44
1,1,2023,3,,350.0,4.629996,3048.0,6.0,6.0,1009.6548348541656,25.0,21.999999999999996,,0.0,83.44
1,1,2023,4,,340.0,5.14444,1219.2,6.0,6.0,1009.6584284462122,25.0,21.999999999999996,,0.0,83.44
1,1,2023,5,,330.0,2.57222,1402.0800000000002,6.0,6.0,1009.6584284462122,25.0,23.000000000000004,,0.0,88.67
1,1,2023,6,,330.0,3.601108,1524.0,3.0,3.0,1009.6620220486152,24.0,23.000000000000004,,0.0,94.14
1,1,2023,7,,320.0,3.601108,,,,1009.6620220486152,24.0,23.000000000000004,,0.0,94.14
1,1,2023,8,,320.0,3.086664,518.1600000000001,1.0,1.0,1009.6620220486152,24.0,23.000000000000004,,0.0,94.14
1,1,2023,9,,340.0,2.57222,518.1600000000001,1.0,1.0,1009.6584284462122,24.0,23.000000000000004,,0.0,94.14
1,1,2023,10,,10.0,3.601108,518.1600000000001,1.0,1.0,1009.6584284462122,25.0,23.000000000000004,,0.0,88.67
1,1,2023,11,,10.0,3.601108,609.6,6.0,6.0,1009.6548348541656,25.999999999999996,21.999999999999996,,0.0,78.62
1,1,2023,12,,350.0,4.115552,3048.0,6.0,6.0,1009.6548348541656,26.999999999999996,21.999999999999996,,0.0,74.11
1,1,2023,13,,350.0,4.115552,762.0,3.0,3.0,1009.6548348541656,28.000000000000004,21.999999999999996,,0.0,69.9
1,1,2023,14,,360.0,4.115552,914.4000000000001,3.0,3.0,1009.6548348541656,28.000000000000004,20.999999999999996,,0.0,65.74
1,1,2023,15,,350.0,5.14444,914.4000000000001,1.0,1.0,1009.6584284462122,30.0,21.999999999999996,,0.0,62.25
1,1,2023,16,,50.0,5.6588840000000005,914.4000000000001,1.0,1.0,1009.6584284462122,30.0,23.000000000000004,,0.0,66.15
1,1,2023,17,,60.0,6.173328,1066.8,1.0,1.0,1009.6620220486152,29.0,21.999999999999996,,0.0,65.95
1,1,2023,18,,40.0,4.115552,1219.2,3.0,1.0,1009.6620220486152,29.0,23.000000000000004,,0.0,70.08
1,1,2023,19,,70.0,5.14444,1066.8,3.0,3.0,1009.6656156613755,29.0,23.000000000000004,,0.0,70.08
1,1,2023,20,,80.0,5.6588840000000005,914.4000000000001,3.0,3.0,1009.6656156613755,26.999999999999996,23.000000000000004,,0.0,78.76
1,1,2023,21,,70.0,4.629996,1219.2,3.0,3.0,1009.6656156613755,26.999999999999996,21.999999999999996,,0.0,74.11
1,1,2023,22,,60.0,4.115552,1371.6000000000001,3.0,3.0,1009.6620220486152,25.999999999999996,23.000000000000004,,0.0,83.55
1,1,2023,23,,10.0,2.57222,1219.2,6.0,6.0,1009.6620220486152,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,0,,30.0,3.086664,1219.2,6.0,6.0,1009.6620220486152,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,1,,20.0,3.086664,914.4000000000001,6.0,6.0,1009.6584284462122,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,2,,20.0,4.115552,518.1600000000001,6.0,6.0,1009.6584284462122,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,3,,360.0,4.115552,457.20000000000005,6.0,6.0,1009.6584284462122,25.999999999999996,24.0,,0.0,88.75
2,1,2023,4,,360.0,4.629996,457.20000000000005,6.0,6.0,1009.6620220486152,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,5,,10.0,5.14444,609.6,6.0,6.0,1009.6656156613755,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,6,,360.0,4.629996,609.6,6.0,6.0,1009.6692092844927,25.0,24.0,,0.0,94.19
2,1,2023,7,,250.0,5.14444,609.6,6.0,6.0,1009.6692092844927,25.0,23.000000000000004,,0.0,88.67
2,1,2023,8,,330.0,3.601108,457.20000000000005,6.0,6.0,1009.6692092844927,25.0,24.0,,0.0,94.19
2,1,2023,9,,330.0,4.629996,457.20000000000005,3.0,3.0,1009.6692092844927,25.0,24.0,,0.0,94.19
2,1,2023,10,,310.0,5.14444,609.6,3.0,3.0,1009.6656156613755,25.0,24.0,,0.0,94.19
2,1,2023,11,,340.0,6.173328,609.6,1.0,1.0,1009.6656156613755,26.999999999999996,23.000000000000004,,0.0,78.76
2,1,2023,12,,350.0,6.687772,914.4000000000001,3.0,3.0,1009.6692092844927,26.999999999999996,23.000000000000004,,0.0,78.76
2,1,2023,13,,350.0,6.687772,914.4000000000001,3.0,3.0,1009.6716050389915,28.000000000000004,21.999999999999996,,0.0,69.9
2,1,2023,14,,360.0,6.687772,914.4000000000001,1.0,1.0,1009.6716050389915,29.0,23.000000000000004,,0.0,70.08
2,1,2023,15,,360.0,6.687772,914.4000000000001,1.0,1.0,1009.6751986793704,30.0,21.999999999999996,,0.0,62.25
2,1,2023,16,,10.0,8.231104,914.4000000000001,1.0,1.0,1009.6787923301055,29.0,23.000000000000004,,0.0,70.08
2,1,2023,17,,10.0,8.231104,914.4000000000001,1.0,1.0,1009.6823859911982,28.000000000000004,23.000000000000004,,0.0,74.28
2,1,2023,18,,20.0,8.231104,914.4000000000001,1.0,1.0,1009.685979662648,29.0,23.000000000000004,,0.0,70.08
2,1,2023,19,,360.0,7.71666,914.4000000000001,1.0,1.0,1009.685979662648,29.0,23.000000000000004,,0.0,70.08
2,1,2023,20,,20.0,7.71666,914.4000000000001,1.0,1.0,1009.6895733444549,28.000000000000004,23.000000000000004,,0.0,74.28
2,1,2023,21,,10.0,7.202216,914.4000000000001,3.0,3.0,1009.6895733444549,28.000000000000004,23.000000000000004,,0.0,74.28
2,1,2023,22,,10.0,4.115552,914.4000000000001,3.0,3.0,1009.685979662648,25.999999999999996,23.000000000000004,,0.0,83.55
2,1,2023,23,,360.0,6.687772,914.4000000000001,3.0,3.0,1009.685979662648,25.999999999999996,23.000000000000004,,0.0,83.55
3,1,2023,0,,360.0,7.202216,609.6,6.0,6.0,1009.6823859911982,25.999999999999996,23.000000000000004,,0.0,83.55
