Agência Nacional de Águas - ANA
Superintendência de Gestão da Rede Hidrometeorológica-SGH
Sistema de Informações Hidrológicas - Versão WEB
Fone: (61) 2109-5242
E-mail: hidro@ana.gov.br

NivelConsistencia: 1 = Bruto, 2 = Consistido
MediaDiaria: Indica se a medição é média diaria ou instantânea.  0 = Não, 1 = Sim
MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca

Restrições da consulta:
Código da Estação:86510000


EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
86510000;1;01/03/2024;;1;1;"585,1611";"87,1677";"280,5209";10;30;1;1;1;"0,0";0;"447,9507";"437,7344";"325,5738";"263,7936";"341,4661";"230,4715";"254,0509";"222,4815";"443,5624";"585,1611";"413,2619";"342,8022";"263,7936";"265,0239";"192,9433";"140,904";"298,3937";"414,6881";"378,1597";"303,5082";"260,1193";"324,2612";"272,4639";"208,0053";"220,2237";"187,6968";"125,8903";"165,4455";"135,5116";"87,1677";"143,6383";;;;;;;1;1;;;;;;1;1;1;1;;;;;;1;1;1;1;1;1;1;1;1
86510000;1;01/02/2024;;1;1;"468,6241";"115,7859";"272,754";17;10;1;1;1;"0,0";0;"374,0195";"228,1747";"311,2354";"215,7416";"216,8579";"215,7416";"175,3913";"170,3833";"144,5554";"115,7859";"136,4032";"174,3841";"149,1833";"227,0305";"274,966";"239,7699";"468,6241";"436,2815";"468,6241";"404,7403";"467,1368";"333,4875";"263,7936";"244,4858";"215,7416";"204,7316";"220,2237";"364,4201";"447,9507";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;0;0
86510000;1;01/01/2024;;1;1;"2005,1863";"148,2521";"445,7722";19;12;1;1;1;;0;"197,1908";"164,4663";"203,646";"390,6734";"367,1541";"254,0509";"223,6146";"237,4286";"184,5826";"165,4455";"180,4695";"148,2521";"172,378";"228,1747";"222,4815";"227,0305";"284,4835";"506,8725";"2005,1863";"1431,722";"810,8977";"665,2671";"550,4618";"521,2725";"527,7143";"606,9836";"514,8563";"494,1828";"535,8027";"429,042";"367,1541";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;1;1;1;;;1;1;1;1;1
86510000;2;01/12/2023;;1;1;"1195,55";"121,41";"546,72";5;28;1;1;1;;;"1026,8495";"789,593";"698,3698";"834,7571";"1195,5476";"891,4191";"796,4896";"880,7059";"758,7938";"569,9251";"626,7057";"533,0298";"467,4522";"393,5532";"334,2499";"560,6284";"533,0298";"545,2415";"485,0667";"432,8471";"458,7224";"374,3538";"464,5365";"413,0527";"430,0015";"401,8737";"339,5139";"121,4133";"218,4025";"202,5216";"169,7979";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
86510000;2;01/11/2023;;1;1;"9401,09";"407,45";"1840,87";18;11;1;1;1;;;"675,3027";"629,9097";"956,5495";"2275,322";"1619,7441";"1049,374";"769,0172";"585,5264";"536,0745";"464,5365";"407,4511";"455,8241";"1056,9164";"2271,1682";"1591,4221";"1687,9277";"3069,744";"9401,094";"9068,915";"3219,1938";"1787,0375";"1302,9932";"1794,4822";"1630,424";"1060,6938";"708,3303";"772,4346";"728,3841";"2012,6155";"1637,5618";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
86510000;2;01/10/2023;;1;1;"5275,65";"418,68";"1503,22";8;29;1;1;2;;;"617,1246";"576,1497";"493,9507";"817,2927";"2111,9038";"1500,9636";"2359,125";"5275,653";"2308,676";"1521,6227";"1172,0698";"2942,2422";"3702,618";"1989,1134";"1376,2246";"1045,6091";"3666,3203";"3386,8523";"1828,1592";"1368,0256";"1045,6091";"775,8568";"701,6851";"560,6284";"601,2599";"520,9056";"455,8241";"438,5562";"418,6784";"435,6987";"585,5264";2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
86510000;2;01/09/2023;;1;1;"15092,32";"104,64";"2217,74";5;1;1;;2;;;"104,6416";"104,6416";"357,5736";"4442,27";"15092,317";"9448,995";"5039,638";"1934,7692";"2012,6155";"1542,4114";"1211,2806";"952,8932";"952,8932";"1514,7219";"1475,8083";"1019,3757";"952,8932";"952,8932";"952,8932";"2164,401";"1480,0051";"1026,8495";"1549,3698";"1687,9277";"1446,5369";"2197,0007";"1698,8115";"1335,3845";"1121,7092";"758,7938";;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;
86510000;2;01/08/2023;;1;1;"270,69";"77,81";"136,98";13;21;1;1;1;;;"152,7505";"158,086";"119,6229";"134,0061";"109,0258";"145,7857";"101,7711";"104,6416";"134,0061";"137,3187";"118,0775";"212,5348";"270,6876";"249,7246";"165,3494";"104,6416";"135,6571";"115,0183";"154,5184";"124,3223";"77,8105";"96,1554";"97,5437";"107,5539";"119,6229";"188,1675";"176,5654";"109,0258";"140,6736";"86,7289";"98,9424";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
86510000;2;01/07/2023;;1;1;"5627,46";"115,02";"759,68";13;3;1;1;1;;;"227,4681";"206,2972";"115,0183";"165,3494";"134,0061";"144,071";"221,003";"1148,7437";"1820,1667";"1430,8568";"890,2724";"847,0295";"5627,455";"2752,6296";"1487,6864";"966,8491";"938,3612";"789,3736";"567,7049";"498,9716";"439,6945";"389,0754";"290,0658";"204,2396";"214,6356";"221,003";"149,2468";"184,2571";"176,5654";"154,5184";"147,5109";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
86510000;2;01/06/2023;;1;1;"2191,24";"38,14";"411,18";16;5;1;1;1;;;"106,0925";"44,3514";"84,1291";"51,0532";"38,1418";"96,1554";"88,0444";"70,5685";"68,2367";"67,0863";"82,8447";"106,0925";"140,6736";"159,8858";"249,7246";"2191,2446";"1457,4735";"1008,0975";"910,1942";"685,8854";"541,1292";"448,8665";"366,066";"598,17";"675,123";"594,7556";"544,425";"290,0658";"300,2521";"270,6876";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
