EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
87317030;1;01/03/2024;;1;1;39,1141;9,5702;16,188;4;28;1;1;1;0;0;12,7284;16,8376;17,1119;39,1141;36,8744;25,1511;19,8686;18,4931;19,3135;15,761;14,7171;14,2075;13,9558;13,2131;12,252;12,252;12,252;11,784;11,3244;11,0977;13,9558;16,8376;13,9558;12,4892;11,3244;10,8731;10,4304;9,5702;26,3939;14,7171;12,9697;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/02/2024;;1;1;30,3725;11,2747;16,9002;26;29;1;1;1;0;0;20,6856;19,5981;17,5064;15,0486;30,0435;16,5022;14,5781;14,5781;14,1146;13,6582;15,0486;12,7666;12,9868;25,3107;17,7617;17,0008;23,8182;15,5261;14,5781;13,6582;13,2088;12,5481;12,3314;11,9034;12,3314;30,3725;24,1133;17,2527;11,2747;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
87317030;1;01/01/2024;;1;1;;;24,6;;;2;2;2;;0;14,1;15,3;17,5;17,5;17,5;18,5;15;14,3;13,2;12,8;13,4;15;16,3;18,3;21,2;18,3;;49,4;32,7;;;;37,7;;;;50,6;53,7;47,7;33,8;26,5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1
87317030;1;01/12/2023;;1;1;54,8488;14,5781;26,8175;5;25;1;1;1;;0;40,2677;30,0435;33,4099;42,5581;54,8488;51,4646;49,7861;45,7046;35,1561;30,7033;31,0357;25,3107;20,9618;19,5981;19,0648;34,1034;26,5354;19,0648;16,7507;23,5249;18,8007;17,2527;16,2556;15,5261;14,5781;23,5249;16,0107;14,5781;14,5781;15,7675;14,5781;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/11/2023;;1;1;333,8879;14,1146;66,3164;18;10;2;2;2;;0;39,5175;44,9081;53,7143;44,1182;29,3904;22,655;20,1384;17,7617;15,0486;14,1146;14,1146;61,2007;164,1607;103,5666;67,1343;118,7011;67,7357;333,8879;148,3229;102,2187;82,5898;62,9652;53,7143;40,6453;30,0435;25,9197;23,2332;26,8459;106,2767;54,8488;;;;;;;;;;;;;;1;1;1;1;1;1;1;1;2;2;;;;;;;2;;0
87317030;1;01/10/2023;;1;1;167,226;12,1165;57,292;7;30;1;1;1;;0;77,5508;58,2903;42,5581;58,2903;49,3705;36,5832;167,226;102,2187;85,7822;58,8693;55,4185;129,3313;95,5512;62,3756;45,3056;132,9288;148,3229;80,6902;50,622;38,7739;30,7033;25,3107;21,8007;19,5981;17,7617;15,5261;13,6582;13,2088;12,5481;12,1165;17,7617;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
87317030;1;01/09/2023;;1;1;238,3086;11,0687;70,3245;26;2;1;1;1;0;0;11,2747;11,0687;12,1165;149,0672;138,0095;65,9358;58,8693;70,1557;58,2903;53,1495;41,0245;30,7033;48,5444;80,0596;60,6156;41,4055;33,7558;29,7161;42,1722;42,1722;30,0435;50,622;61,2007;68,3385;68,3385;238,3086;182,7782;138,0095;106,2767;87,7132;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0
87317030;1;01/08/2023;;1;1;63,5564;9,2666;16,4282;24;22;1;1;1;0;0;18,5383;16,7507;15,2865;14,3454;13,4326;12,7666;12,1165;12,1165;12,1165;14,5781;19,5981;21,2397;15,2865;12,9868;12,1165;11,2747;10,4615;10,0604;10,4615;11,0687;9,6603;9,2666;18,0189;63,5564;34,8035;23,5249;18,8007;16,2556;14,1146;12,7666;11,9034;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;
87317030;1;01/07/2023;;1;1;;;;;;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
87317030;1;01/06/2023;;1;1;;;;;;0;0;0;0;0;2,6979;2,5773;2,4589;2,4589;2,3426;2,2284;2,0068;1,7942;1,5909;1,5909;2,6979;4,9002;3,201;3,3319;50,622;;;;;;;45,7046;36,5832;32,7232;28,1046;27,158;24,7086;19,0648;17,0008;14,5781;;;;;;;;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;0
