,index,Data,EstacaoCodigo,Vazao,NivelConsistencia
6,15314,1981-05-07,87317030,4.4166,2
7,15315,1981-05-08,87317030,3.9404,2
8,15316,1981-05-09,87317030,3.492,2
9,15317,1981-05-10,87317030,3.0714,2
10,15318,1981-05-11,87317030,2.6784,2
11,15319,1981-05-12,87317030,2.6784,2
12,15320,1981-05-13,87317030,2.6784,2
13,15321,1981-05-14,87317030,2.3129,2
14,15322,1981-05-15,87317030,3.492,2
15,15323,1981-05-16,87317030,3.0714,2
16,15324,1981-05-17,87317030,4.6651,2
17,15325,1981-05-18,87317030,3.492,2
18,15326,1981-05-19,87317030,3.0714,2
19,15327,1981-05-20,87317030,2.6784,2
20,15328,1981-05-21,87317030,2.3129,2
21,15329,1981-05-22,87317030,2.3129,2
22,15330,1981-05-23,87317030,2.3129,2
23,15331,1981-05-24,87317030,1.9749,2
24,15332,1981-05-25,87317030,1.9749,2
25,15333,1981-05-26,87317030,13.6037,2
26,15334,1981-05-27,87317030,14.4908,2
27,15335,1981-05-28,87317030,9.9663,2
28,15336,1981-05-29,87317030,6.9057,2
29,15337,1981-05-30,87317030,5.7293,2
30,15338,1981-05-31,87317030,4.4166,2
31,15278,1981-06-01,87317030,3.9404,2
32,15279,1981-06-02,87317030,3.492,2
33,15280,1981-06-03,87317030,3.7127,2
34,15281,1981-06-04,87317030,4.175,2
35,15282,1981-06-05,87317030,3.492,2
36,15283,1981-06-06,87317030,6.6011,2
37,15284,1981-06-07,87317030,493.4988,2
38,15285,1981-06-08,87317030,242.0906,2
39,15286,1981-06-09,87317030,117.3093,2
40,15287,1981-06-10,87317030,82.0874,2
41,15288,1981-06-11,87317030,51.1523,2
42,15289,1981-06-12,87317030,19.3588,2
43,15290,1981-06-13,87317030,14.0436,2
44,15291,1981-06-14,87317030,11.9155,2
45,15292,1981-06-15,87317030,10.3419,2
46,15293,1981-06-16,87317030,9.2365,2
47,15294,1981-06-17,87317030,8.5351,2
48,15295,1981-06-18,87317030,7.5363,2
49,15296,1981-06-19,87317030,6.3034,2
50,15297,1981-06-20,87317030,5.4527,2
51,15298,1981-06-21,87317030,5.4527,2
52,15299,1981-06-22,87317030,5.4527,2
53,15300,1981-06-23,87317030,4.9207,2
54,15301,1981-06-24,87317030,4.9207,2
55,15302,1981-06-25,87317030,4.9207,2
56,15303,1981-06-26,87317030,5.4527,2
57,15304,1981-06-27,87317030,4.9207,2
58,15305,1981-06-28,87317030,4.4166,2
59,15306,1981-06-29,87317030,3.9404,2
60,15307,1981-06-30,87317030,5.1832,2
61,15247,1981-07-01,87317030,20.4192,2
62,15248,1981-07-02,87317030,10.7246,2
63,15249,1981-07-03,87317030,6.9057,2
64,15250,1981-07-04,87317030,6.0128,2
65,15251,1981-07-05,87317030,5.4527,2
66,15252,1981-07-06,87317030,4.9207,2
67,15253,1981-07-07,87317030,4.4166,2
68,15254,1981-07-08,87317030,4.4166,2
69,15255,1981-07-09,87317030,3.9404,2
70,15256,1981-07-10,87317030,3.492,2
71,15257,1981-07-11,87317030,4.175,2
72,15258,1981-07-12,87317030,4.9207,2
73,15259,1981-07-13,87317030,4.4166,2
74,15260,1981-07-14,87317030,3.9404,2
75,15261,1981-07-15,87317030,3.492,2
76,15262,1981-07-16,87317030,3.0714,2
77,15263,1981-07-17,87317030,7.8621,2
78,15264,1981-07-18,87317030,11.5114,2
79,15265,1981-07-19,87317030,7.8621,2
80,15266,1981-07-20,87317030,6.6011,2
81,15267,1981-07-21,87317030,73.9579,2
82,15268,1981-07-22,87317030,35.418,2
83,15269,1981-07-23,87317030,19.3588,2
84,15270,1981-07-24,87317030,13.1709,2
85,15271,1981-07-25,87317030,12.7453,2
86,15272,1981-07-26,87317030,24.9513,2
87,15273,1981-07-27,87317030,14.9451,2
88,15274,1981-07-28,87317030,11.1144,2
89,15275,1981-07-29,87317030,8.8823,2
90,15276,1981-07-30,87317030,7.5363,2
91,15277,1981-07-31,87317030,6.6011,2
92,15216,1981-08-01,87317030,6.3034,2
93,15217,1981-08-02,87317030,5.7293,2
94,15218,1981-08-03,87317030,4.9207,2
95,15219,1981-08-04,87317030,4.4166,2
96,15220,1981-08-05,87317030,4.4166,2
97,15221,1981-08-06,87317030,3.9404,2
98,15222,1981-08-07,87317030,3.9404,2
99,15223,1981-08-08,87317030,3.492,2
100,15224,1981-08-09,87317030,3.492,2
101,15225,1981-08-10,87317030,3.492,2
102,15226,1981-08-11,87317030,3.492,2
103,15227,1981-08-12,87317030,3.0714,2
104,15228,1981-08-13,87317030,8.5351,2
105,15229,1981-08-14,87317030,5.4527,2
106,15230,1981-08-15,87317030,4.175,2
107,15231,1981-08-16,87317030,3.492,2
108,15232,1981-08-17,87317030,3.492,2
109,15233,1981-08-18,87317030,3.0714,2
110,15234,1981-08-19,87317030,3.0714,2
